"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2qT1uLXPVPzGgFOx4jtEuo","no tears left to cry","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:3tx8gQqWbGwqIGZHqDNrGe","Sweetener","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394","1","10","205920","https://p.scdn.co/mp3-preview/e5b04ad7398a7c8f5c4c788f4ab43f3f4cef150a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM71805289","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:37:52Z"
"spotify:track:4hQ6UGyWQIGJmHSo0J88JW","Back To You - From 13 Reasons Why – Season 2 Soundtrack","spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez","spotify:album:3N7eWDCvfWv34xWNohdHjO","Back To You (From 13 Reasons Why – Season 2 Soundtrack)","spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez","2018-05-10","https://i.scdn.co/image/ab67616d0000b27330885dcb2b5f38512fbcbc59","1","1","207904","https://p.scdn.co/mp3-preview/b937ec296d6db331f55c65881826b4c9dc5242b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUM71805992","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:38:10Z"
"spotify:track:5YeHLHDdQ4nKHk81XFWhCU","successful","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:3tx8gQqWbGwqIGZHqDNrGe","Sweetener","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394","1","7","227386","https://p.scdn.co/mp3-preview/09eb88e2d230221c6a42869a02663fd785485105?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USUM71808578","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:38:53Z"
"spotify:track:7DnAm9FOTWE3cUvso43HhI","Sweet but Psycho","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","spotify:album:26c7MmQ4w8EAvVLb4jilaM","Heaven & Hell","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","2020-09-18","https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7","1","16","187436","https://p.scdn.co/mp3-preview/fab7f8e87979878248e78a3cdb7e28222d45dcec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USAT21802011","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:39:04Z"
"spotify:track:6Z3KPGftGu9ZVvkAY8SaZa","Home with You","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","spotify:album:3PYA0lKJUKoKhYkVSLDyDb","As She Pleases","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","2018-02-02","https://i.scdn.co/image/ab67616d0000b273adc16f7df1d7a810a859cd86","1","5","190576","https://p.scdn.co/mp3-preview/fede4b19186a806e6ddf5fb3b927ebe5025649ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBKPL1897318","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:39:13Z"
"spotify:track:0WdR2AyLW1Drd3OUdwezM0","everytime","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:3tx8gQqWbGwqIGZHqDNrGe","Sweetener","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394","1","8","172106","https://p.scdn.co/mp3-preview/3892fcf7c7b6d90fd1c1eb95c89b3074585cf78b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USUM71808580","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:39:23Z"
"spotify:track:5HwnezK198pJCEj1l2Adjy","She Loves Control","spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Camila Cabello","spotify:album:2vD3zSQr8hNlg0obNel4TE","Camila","spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Camila Cabello","2018-01-12","https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4","1","3","177160","https://p.scdn.co/mp3-preview/32915d5157a3bbdcfb79ce267339ef33ba18e08b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USSM11706920","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:39:33Z"
"spotify:track:5OCJzvD7sykQEKHH7qAC3C","God is a woman","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:3tx8gQqWbGwqIGZHqDNrGe","Sweetener","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394","1","5","197546","https://p.scdn.co/mp3-preview/ff8d1a8198f7e7fd12831bffea8b9c95bc62d6ec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUM71808574","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:39:40Z"
"spotify:track:4VUwkH455At9kENOfzTqmF","Beautiful (feat. Camila Cabello)","spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Bazzi, Camila Cabello","spotify:album:6hCR3zQtRH0IgookOYt771","Beautiful (feat. Camila Cabello)","spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Bazzi, Camila Cabello","2018-08-02","https://i.scdn.co/image/ab67616d0000b27305559264ebef3889709826cf","1","1","180000","https://p.scdn.co/mp3-preview/68869934e36a263274c48611101cf5f1d332a89f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USAT21810504","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:40:20Z"
"spotify:track:330CwDQh6mZ9yAWnJ1svDL","Dead","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","spotify:album:3PYA0lKJUKoKhYkVSLDyDb","As She Pleases","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","2018-02-02","https://i.scdn.co/image/ab67616d0000b273adc16f7df1d7a810a859cd86","1","1","194826","https://p.scdn.co/mp3-preview/8e9e14e618da1ccf933cafdac9afeec58b37512c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","UKELY1700020","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:40:45Z"
